Topic,Count,Name,Representation,Representative_Docs
9,202,9_germany_weck_jars_german,"['germany', 'weck', 'jars', 'german', 'weck jars', 'jar', 'mason', 'canning', 'weck jar', 'mason jars']","['Didn’t know Weck jars were even trending. They do NOT cost that much in Germany.', ""Hi there! This video was just randomly suggested to me today and I'm confused... Living in Germany I had no idea that the Weck jars are/were a big thing in the US! Because our Weck-jars here in Germany... well they cost 2-5€ here xD"", 'Weck jars are literally just German mason jars. When Mason jars were trending they were hella expensive here in Germany too 😂']"
10,187,10_china_chinese_america_american,"['china', 'chinese', 'america', 'american', 'gdp', 'people', 'communist', 'chinese propaganda', 'propaganda', 'goods']","['The comparisons between the West and China don\'t make much sense as basically OECD countries GDPs are comically inflated. Both the EU and the US count as consumption: Imputed rent (literally shit that doesn\'t exist, 9%-10% in Western economies almost non-existent in China) STIK, counted as consumption in the West (particularly huge in Europe) and as government expenditures in China. Plus China has a large, unaccounted economy. Once everything is said and done consumption in China, as a slice of GDP, is comparable to Europe. On the other hand the US figures are inflated by ""services"" crap like: Idiotically high healthcare, mortgage and auto insurance expenses. Equally absurd expenses for college Demented costs for child care Once you remove these factors (and a few others) you are left with a population that, bar the wealthiest 5%, live surprisingly frugal lives. True, houses and cars tend to be bigger than elsewhere (and the rate of car ownership is very high) but the former are often of laughable quality, the latter are commonly second or third-hand vehicles from no-frills brands, the average age of American cars is 13 years. The number of new semi-luxury or truly luxury vehicles is surprisingly modest. Amazon, Walmart and TJX are the 3 largest clothes retailers in a country where Nike, New Balance and Lululemon are considered almost high-end. 1/3 of the apparel market is second-hand stuff. The restaurant scene is mostly made of casual outlets, outside of major metros fine dining is pretty much unknown. 1/4 of the grocery market is owned by Walmart. Etc etc etc', ""Are you criticizing China while in China? I hope they don't come after you."", 'But the agreement was letting China do the worker thing. just realize that. But things have changed. The elites are taking over in China in 2025 just like they did in the United States in 1980. China is moving away from being a manufacturing economy. The difference with China is they’re better at world domination than the West was. It is their turn, especially if they make friends with Korea and Vietnam and the Philippines and Japan oh, if China made nice nice with Japan, the west could never be able to rival that allegiance.']"
11,169,11_vegan_friend_vegan products_products,"['vegan', 'friend', 'vegan products', 'products', 'bring', 'bathroom', 'guest', 'vegan friend', 'natural', 'non toxic']","['If your friend is coming to stay with you and only uses “natural, nontoxic, vegan products” then she should bring her own products.', 'The non toxic vegan friend can bring her own products', '“Natural nontoxic vegan products” …bring your own stuff']"
12,137,12_hair_shiny_hair looks_hair shiny,"['hair', 'shiny', 'hair looks', 'hair shiny', 'gorgeous', 'looks', 'hannah', 'video', 'hannah hair', 'beautiful']","['Your hair looks so good!! What do you so for it?', 'Your hair looks so shiny and healthy 🎉', 'Your hair looks so shiny 😊']"
13,126,13_cat_kitty_love cat_meowing,"['cat', 'kitty', 'love cat', 'meowing', 'cats', 'cute', 'cat meowing', 'meow', 'background', 'love']","['I love the cat meowing 🐱🐱💖💖', 'my cat heard your cat and was so very confused about where that cat was 😅😂', 'I keep thinking your cat is my cat 😭']"
14,125,14_expire_dates_expiration_products expire,"['expire', 'dates', 'expiration', 'products expire', 'expired', 'expire used', 'expires', 'expiration dates', 'going expire', 'expire use']","[""They'd expire before you could ever use them, what a waste..."", '90% of those products will expire before being used,, what a waste of', 'these products will expire even before she can use them all. This is such a waste.']"
15,101,15_school_wish_teacher_high school,"['school', 'wish', 'teacher', 'high school', 'high', 'lecture', 'professor', 'wish teacher', 'class', 'university']","['I wish I had a teacher like this back in school.', 'Are you a high school teacher or something?', 'I wish I had a teacher like yourself when I was in high school Beautiful lecture']"
16,90,16_skin_hannah skin_skin looks_skin care,"['skin', 'hannah skin', 'skin looks', 'skin care', 'glowing', 'skincare', 'care', 'hannah', 'routine', 'looks']","['Speaking of skin care, can you drop your skin care routine? Your skin is flawless.', 'Hannah your skin looks amazing ❤', 'speaking of skin care, hannah your skin is glowing girl!!! ❤ drop the skin care routine 😂 also, thank you for the video 😊']"
17,87,17_series_new series_new_love new,"['series', 'new series', 'new', 'love new', 'excited', 'excited new', 'series love', 'love', 'series excited', 'series great']","['LOVE this new series!', 'I love the new series!', 'Love this new series!']"
18,85,18_junk_junk drawer_drawer_drawer junk,"['junk', 'junk drawer', 'drawer', 'drawer junk', 'restocking junk', 'restocking', 'junk draw', 'draw', 'lol', 'drawer just']","['Junk drawer 😂. That’s definitely not a junk drawer. I HAVE a junk drawer 🤣🤣', 'Lol that “junk” drawer is not a junk drawer 😂', ""if you're restocking a junk drawer then its not a junk drawer""]"
19,85,19_10_rating_called 10_average,"['10', 'rating', 'called 10', 'average', 'called', 'girl', '10 average', 'rate', '10 10', '10 good']","['Am I the only one who thought 7/10 was a compliment until this video? 🤣 Maybe it’s my obsession with math, but 5/10 is average and 10/10 is perfect so anything between 6/10 and 9/10 is some degree of “attractive.” I generally rate myself around a 5 or 6 and a 7 if I’m feeling particularly hot on a certain day, so if someone told me I was a 7 I’d be flattered.', ""I know this isn't the point, but a 7 out of 10 is well above average. She would have been upset with a 9 out of 10. Anything less than 10 was going to hit the same. That's why rating someone, or asking someone to rate you, on a scale of 1 to 10 is an absolutely terrible idea. Anything less than 10 is going to be a horrible insult, and make people wonder what, specifically, it is about them that kept them from getting a 10. An appearance rating scale is a bad idea for all involved. It's a whole Rabbit Hole you don't want to go down."", 'Is 7/10 considered a bad rating? 🤔 I would think 5/10 or 6/10 to be the average, so most people and 7/10 would be above average? If someone was described as a 7/10 I would assume the person is good looking. Am I incorrect? 😅']"
20,82,20_ergo_ergo sum_sum_patrick bateman,"['ergo', 'ergo sum', 'sum', 'patrick bateman', 'bateman', 'patrick', 'mea', 'cogito', 'culpa', 'lakenzo']","['Consumo ergo sum.', 'Cogito, ergo sum ""I think, therefore I am""', 'Cogito ergo sum, I think therefore I am']"
21,82,21_hoarding_aesthetic_aesthetic hoarding_looks,"['hoarding', 'aesthetic', 'aesthetic hoarding', 'looks', 'bla', 'pleasing', 'minimalist', 'glad', 'ess', 'looks cheap']","[""Coming from a family of hoarding tendencies... this was scary. Just cos it looks aesthetically pleasing, does not mean it's any less HOARDING :"", 'Overconsumption is just aesthetic hoarding.', 'Aesthetic hoarding is still hoarding']"
22,69,22_cotton candy_candy_cotton_candy routine,"['cotton candy', 'candy', 'cotton', 'candy routine', 'routine', 'sensitive', 'scented', 'candy lady', 'dove', 'scent']","['I love that the Cotton Candy lady starts with the Dove Sensitive Skin :P', ""The cotton candy lady, it's nauseating!"", 'COTTON CANDY CANCER']"
23,69,23_belly_belly button_button_oiling,"['belly', 'belly button', 'button', 'oiling', 'funsies', 'oil', 'button funsies', 'oiling belly', 'castor', 'oil belly']","['“Oiling up your belly button for funsies” 😂😂', '""Oiling up your belly button for funsies"" 🤣🤣🤣👌🏻', 'Oiling up your belly button for funsies 😂']"
24,69,24_fries_french_free_free french,"['fries', 'french', 'free', 'free french', 'free fries', 'fry', 'french fries', 'french fry', 'mcdonald', 'mcdonalds']","[""the girl want to look pretty to get free french fries in McDonald's?!! I mean,girl, go buy it by yourself"", 'Lol fix your diet get in the gym and also get free french fries 😂', '""Go to the gym, clean up your diet"" also though ""get free French fries at McDonald\'s"" 😂😂']"
